_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
775,1741,TR-00522,3988,Midland Ave,Midland Ave,West,Passmore Ave,North,1597,22,,B,Existing,Provincial,0TS11032,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2952185797358, 43.8210431217234]]}"
776,1742,TR-00524,970,Lawrence Ave W,Lawrence Ave W,North,Apex Rd,East,T5334,08,,A,Existing,Provincial,0TS10888,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4583832495353, 43.7134430917326]]}"
777,1743,TR-00526,213X,Moore Ave,Moore Ave,North,Brendan Rd,East,3088,15,,A,Existing,Provincial,00TS6360,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.378356857447, 43.6955214892004]]}"
778,1744,TR-00530,4080,Steeles Ave E,Steeles Ave E,North,Kelvin Grove Ave,East,T9354,22,,US,Existing,Provincial,0TS11240,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3118478013329, 43.8227313739981]]}"
779,1745,TR-00534,148,Markham Rd,Markham Rd,West,Markanna Dr,North,447,20,,B,Existing,Provincial,0TS11166,TO360,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2180864176288, 43.7407736902748]]}"
780,1747,TR-00538,1584,Dupont St,Dupont St,North,Franklin Ave,East,2647,09,,B,Existing,Provincial,00TS5954,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.453895063354, 43.6652522641756]]}"
781,1748,TR-00542,298,Harvie Ave,Rogers Rd,North,Harvie Ave,West,2813,09,,I,Existing,Provincial,00TS7022,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4543026079136, 43.6837113510366]]}"
782,1749,TR-00544,3266,Danforth Ave,Danforth Ave,North,August Ave,East,37,20,Crossroads of the Danforth,J,Existing,Provincial,0TS10804,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2810415561778, 43.6929338062562]]}"
783,1750,TR-00546,700,Mount Pleasant Rd,Mount Pleasant Rd,West,Soudan Ave,North,1962,12,Mount Pleasant Village,B,Existing,Provincial,00TS6388,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3894515995379, 43.7062256848791]]}"
784,1751,TR-00548,5,Richgrove Dr,Richgrove Dr,South,Martin Grove Rd,West,T3095,01,,BS,Existing,Provincial,0TS11496,Yes,Missing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5645358767468, 43.6766971841822]]}"
